"x"
NA
"Sphingomonadaceae"
"Sphingobacteriaceae"
"Caulobacteraceae"
"Nocardioidaceae"
"uncultured"
"Micropepsaceae"
"Chitinophagaceae"
"Gemmataceae"
"Xanthobacteraceae"
"Acidobacteriaceae (Subgroup 1)"
"Burkholderiaceae"
"Cellulomonadaceae"
"Chthoniobacteraceae"
"Dongiaceae"
"Paenibacillaceae"
"Rubritaleaceae"
"Microbacteriaceae"
"Rhizobiaceae"
"Pseudomonadaceae"
"Nocardiaceae"
"Mycobacteriaceae"
"Chitinibacteraceae"
"Pedosphaeraceae"
"Parachlamydiaceae"
"Gemmatimonadaceae"
"WD2101 soil group"
"Methylopilaceae"
"Intrasporangiaceae"
"Acetobacteraceae"
"Myxococcaceae"
"Reyranellaceae"
"Obscuribacteraceae"
"Vampirovibrionaceae"
"Xanthomonadaceae"
"Azospirillaceae"
"Frankiaceae"
"Beijerinckiaceae"
"Methylacidiphilaceae"
"Isosphaeraceae"
"Actinospicaceae"
"Verrucomicrobiaceae"
"Solirubrobacteraceae"
"Crocinitomicaceae"
"Catenulisporaceae"
"Terrimicrobiaceae"
"Schlesneriaceae"
"Oxalobacteraceae"
"Xiphinematobacteraceae"
"Anaeromyxobacteraceae"
"Opitutaceae"
"Acidothermaceae"
"Alcaligenaceae"
"Bryobacteraceae"
"Micromonosporaceae"
"Flavobacteriaceae"
"Vicinamibacteraceae"
"Geodermatophilaceae"
"Solibacteraceae"
"Hyphomicrobiaceae"
"Streptomycetaceae"
"Thermomonosporaceae"
"Abditibacteriaceae"
"Comamonadaceae"
"Devosiaceae"
"Polyangiaceae"
"Dermacoccaceae"
"Rhodanobacteraceae"
"Bacillaceae"
"67-14"
"Pirellulaceae"
"Magnetospirillaceae"
"Labraceae"
"Rhizobiales Incertae Sedis"
"Enterobacteriaceae"
"Parvibaculaceae"
"Unknown Family"
"Micrococcaceae"
"Pyrinomonadaceae"
"KF-JG30-B3"
"Haliangiaceae"
"Iamiaceae"
"Weeksellaceae"
"env.OPS 17"
"Streptococcaceae"
"Inquilinaceae"
"URHD0088"
"Kaistiaceae"
"Bdellovibrionaceae"
"Rhodospirillaceae"
"Erwiniaceae"
"CPla-3 termite group"
"Nakamurellaceae"
"37-13"
"Kineosporiaceae"
"NS11-12 marine group"
"Rubinisphaeraceae"
"Nitrosomonadaceae"
"Yersiniaceae"
"Pseudonocardiaceae"
"Sandaracinaceae"
